target_angle,measured_angle
0,-0.19216104926033248
0.5,-0.19216104926033248
1.0,0.24706420619185604
1.5,0.6862894616440446
2.0,1.125514717096233
2.5,1.5647399725484217
3.0,2.443190483452798
3.5,2.882415738904987
4.0,3.3216409943571756
4.5,3.760866249809364
5.0,4.200091505261552
5.5,4.639316760713741
6.0,5.07854201616593
6.5,5.956992527070307
7.0,6.396217782522495
7.5,6.8354430379746836
8.0,7.274668293426871
8.5,7.713893548879061
9.0,8.153118804331248
9.5,8.592344059783438
10.0,9.470794570687815
10.5,9.910019826140003
11.0,10.349245081592192
11.5,10.78847033704438
12.0,11.22769559249657
12.5,11.666920847948758
13.0,12.106146103400945
13.5,12.984596614305323
14.0,13.42382186975751
14.5,13.863047125209699
15.0,14.302272380661888
15.5,14.741497636114078
16.0,15.180722891566264
16.5,15.619948147018453
17.0,16.49839865792283
17.5,16.937623913375017
18.0,17.376849168827206
18.5,17.816074424279396
19.0,18.255299679731586
19.5,18.69452493518377
20.0,19.13375019063596
20.5,19.57297544608815
21.0,20.451425956992527
21.5,20.890651212444716
22.0,21.329876467896906
22.5,21.76910172334909
23.0,22.20832697880128
23.5,22.64755223425347
24.0,23.08677748970566
24.5,23.965228000610036
25.0,24.404453256062222
25.5,24.843678511514412
26.0,25.282903766966598
26.5,25.722129022418788
27.0,26.161354277870977
27.5,26.600579533323167
28.0,27.479030044227546
28.5,27.91825529967973
29.0,28.357480555131918
29.5,28.796705810584108
30.0,29.235931066036297
30.5,29.675156321488487
31.0,30.114381576940676
31.5,30.99283208784505
32.0,31.432057343297238
32.5,31.871282598749428
33.0,32.31050785420162
33.5,32.7497331096538
34.0,33.188958365106
34.5,33.62818362055818
35.0,34.067408876010376
35.5,34.94585938691475
36.0,35.385084642366934
36.5,35.82430989781913
37.0,36.26353515327131
37.5,36.702760408723506
38.0,37.14198566417569
38.5,37.58121091962788
39.0,38.45966143053226
39.5,38.89888668598444
40.0,39.33811194143663
40.5,39.77733719688882
41.0,40.21656245234101
41.5,40.6557877077932
42.0,41.09501296324538
42.5,41.97346347414976
43.0,42.41268872960195
43.5,42.85191398505414
44.0,43.29113924050633
44.5,43.73036449595852
45.0,44.16958975141071
45.5,44.60881500686289
46.0,45.48726551776728
46.5,45.92649077321946
47.0,46.36571602867164
47.5,46.804941284123835
48.0,47.24416653957602
48.5,47.683391795028214
49.0,48.1226170504804
49.5,48.561842305932586
50.0,49.440292816836966
50.5,49.87951807228916
51.0,50.318743327741345
51.5,50.75796858319354
52.0,51.197193838645724
52.5,51.63641909409792
53.0,52.0756443495501
53.5,52.95409486045447
54.0,53.39332011590666
54.5,53.83254537135885
55.0,54.27177062681104
55.5,54.71099588226323
56.0,55.15022113771542
56.5,55.589446393167606
57.0,56.467896904071985
57.5,56.90712215952417
58.0,57.346347414976364
58.5,57.78557267042855
59.0,58.22479792588074
59.5,58.66402318133293
60.0,59.10324843678512
60.5,59.98169894768949
61.0,60.42092420314168
61.5,60.86014945859387
62.0,61.29937471404605
62.5,61.738599969498246
63.0,62.17782522495043
63.5,62.617050480402625
64.0,63.495500991307004
64.5,63.93472624675919
65.0,64.37395150221138
65.5,64.81317675766357
66.0,65.25240201311576
66.5,65.69162726856794
67.0,66.13085252402014
67.5,66.57007777947231
68.0,67.4485282903767
68.5,67.88775354582889
69.0,68.32697880128107
69.5,68.76620405673326
70.0,69.20542931218544
70.5,69.64465456763764
71.0,70.08387982308983
71.5,70.9623303339942
72.0,71.4015555894464
72.5,71.84078084489859
73.0,72.28000610035078
73.5,72.71923135580296
74.0,73.15845661125515
74.5,73.59768186670733
75.0,74.4761323776117
75.5,74.9153576330639
76.0,75.35458288851609
76.5,75.79380814396828
77.0,76.23303339942046
77.5,76.67225865487265
78.0,77.11148391032485
78.5,77.98993442122922
79.0,78.42915967668141
79.5,78.86838493213361
80.0,79.3076101875858
80.5,79.74683544303797
81.0,80.18606069849015
81.5,80.62528595394235
82.0,81.06451120939454
82.5,81.94296172029891
83.0,82.38218697575111
83.5,82.8214122312033
84.0,83.26063748665548
84.5,83.69986274210767
85.0,84.13908799755986
85.5,84.57831325301206
86.0,85.45676376391643
86.5,85.89598901936861
87.0,86.3352142748208
87.5,86.77443953027299
88.0,87.21366478572517
88.5,87.65289004117736
89.0,88.09211529662956
89.5,88.97056580753393
90.0,89.40979106298612
90.5,89.84901631843832
91.0,90.2882415738905
91.5,90.72746682934269
92.0,91.16669208479487
92.5,91.60591734024706
93.0,92.48436785115145
93.5,92.92359310660363
94.0,93.36281836205582
94.5,93.80204361750802
95.0,94.2412688729602
95.5,94.68049412841239
96.0,95.11971938386458
96.5,95.99816989476896
97.0,96.43739515022112
97.5,96.87662040567332
98.0,97.31584566112551
98.5,97.7550709165777
99.0,98.19429617202988
99.5,98.63352142748208
100.0,99.07274668293427
100.5,99.95119719383864
101.0,100.39042244929082
101.5,100.82964770474302
102.0,101.26887296019521
102.5,101.7080982156474
103.0,102.14732347109958
103.5,102.58654872655178
104.0,103.46499923745615
104.5,103.90422449290834
105.0,104.34344974836053
105.5,104.78267500381273
106.0,105.22190025926491
106.5,105.6611255147171
107.0,106.10035077016929
107.5,106.97880128107367
108.0,107.41802653652586
108.5,107.85725179197804
109.0,108.29647704743023
109.5,108.73570230288243
110.0,109.17492755833462
110.5,109.6141528137868
111.0,110.49260332469116
111.5,110.93182858014335
112.0,111.37105383559555
112.5,111.81027909104773
113.0,112.24950434649992
113.5,112.6887296019521
114.0,113.12795485740429
114.5,113.56718011285649
115.0,114.44563062376086
115.5,114.88485587921305
116.0,115.32408113466524
116.5,115.76330639011744
117.0,116.20253164556962
117.5,116.64175690102181
118.0,117.080982156474
118.5,117.95943266737838
119.0,118.39865792283057
119.5,118.83788317828275
120.0,119.27710843373494
120.5,119.71633368918714
121.0,120.15555894463932
121.5,120.59478420009151
122.0,121.4732347109959
122.5,121.91245996644808
123.0,122.35168522190027
123.5,122.79091047735245
124.0,123.23013573280463
124.5,123.66936098825681
125.0,124.108586243709
125.5,124.98703675461338
126.0,125.42626201006557
126.5,125.86548726551776
127.0,126.30471252096996
127.5,126.74393777642214
128.0,127.18316303187433
128.5,127.62238828732652
129.0,128.0616135427787
129.5,128.94006405368307
130.0,129.3792893091353
130.5,129.81851456458747
131.0,130.25773982003966
131.5,130.69696507549185
132.0,131.13619033094403
132.5,131.57541558639622
133.0,132.4538660973006
133.5,132.89309135275278
134.0,133.332316608205
134.5,133.77154186365718
